latitude,longitude,magnitude,time,posix data
45.932,-129.9822,1.5491,7/3/94 20:37,773267876.9
45.9428,-129.9834,0.953,7/3/94 23:06,773276811.8
45.9478,-130.0198,1.8304,7/4/94 2:59,773290787.5
45.9486,-130.0214,1.3946,7/4/94 7:55,773308507.8
45.9382,-129.9886,3.6652,7/4/94 13:35,773328934
45.9371,-130.0169,2.1872,7/4/94 14:48,773333291.2
45.9508,-129.9862,0.5745,7/5/94 9:43,773401429.4
45.9379,-129.9899,0.0012,7/5/94 10:39,773404751.4
45.9465,-129.9888,0.8773,7/5/94 10:48,773405286.3
45.9486,-129.9878,1.1281,7/5/94 10:49,773405374.6
45.9524,-129.993,1.6885,7/5/94 10:50,773405410.1
45.9404,-130.013,0.6049,7/5/94 14:17,773417826.2
45.9449,-130.017,1.5991,7/5/94 19:24,773436272.9
45.9334,-130.0137,1.4859,7/5/94 23:18,773450308.7
45.9444,-129.9826,0.5228,7/7/94 2:02,773546563.2
45.9312,-129.9971,0.4372,7/7/94 4:56,773557005.8
45.9365,-129.998,0.0008,7/7/94 4:59,773557181.3
45.922,-129.9856,0.5919,7/7/94 5:03,773557438.4
45.9274,-130.0081,1.3542,7/7/94 5:09,773557753.6
45.9483,-130.0125,1.8693,7/7/94 5:10,773557839.6
45.9525,-130.0194,1.0789,7/7/94 13:12,773586777
45.9456,-129.9873,0.375,7/7/94 14:28,773591311.5
45.9303,-130.0135,1.4098,7/7/94 15:08,773593683.8
45.9434,-129.9862,0.406,7/7/94 15:49,773596162.2
45.9461,-129.9836,0.7718,7/7/94 16:09,773597387.5
45.9463,-130.0197,0.7257,7/7/94 23:15,773622922.4
45.9447,-130.0215,0.6445,7/8/94 3:51,773639490.6
45.9263,-130.0186,4.0645,7/8/94 11:05,773665528.4
45.9468,-130.0233,1.4018,7/8/94 21:20,773702421.9
45.9584,-129.9967,0.7535,7/9/94 15:23,773767413.7
45.9495,-129.9858,1.1169,7/9/94 15:34,773768044.9
45.9484,-129.9821,1.0569,7/9/94 15:35,773768142.3
45.9492,-129.9854,1.521,7/9/94 15:36,773768159.9
45.9481,-129.982,1.0453,7/9/94 15:40,773768421.2
46.0031,-129.9945,1.0954,7/10/94 10:07,773834863.9
45.9397,-130.0147,0.7876,7/10/94 12:09,773842173.2
45.9984,-129.9866,2.5405,7/10/94 13:08,773845720
46.0009,-130.0008,3.909,7/10/94 13:32,773847155.7
45.9484,-129.9861,1.0428,7/10/94 15:01,773852484.3
45.9469,-129.9881,0.673,7/10/94 16:01,773856110.5
45.9494,-129.9866,1.4482,7/10/94 16:14,773856853.9
45.9472,-129.985,1.0767,7/10/94 17:14,773860471.5
45.9462,-129.988,0.8772,7/10/94 17:39,773861984.4
45.9458,-129.9888,0.7065,7/10/94 17:41,773862082.5
45.9473,-129.9863,0.9543,7/10/94 17:43,773862208.7
45.9468,-129.9871,1.0393,7/10/94 17:44,773862241.9
45.947,-129.9832,1.0412,7/10/94 17:53,773862785.1
45.9555,-130.0222,2.2021,7/10/94 18:08,773863699.3
45.9472,-130.0273,2.1582,7/10/94 18:09,773863774.7
45.9519,-129.9893,2.0252,7/10/94 18:09,773863789.9
45.9487,-129.9854,1.0983,7/10/94 18:10,773863802.2
45.9671,-130.0435,1.4267,7/10/94 18:10,773863848.6
45.9538,-130.0067,1.5217,7/10/94 18:11,773863910
45.9695,-130.0612,1.325,7/10/94 18:12,773863943.6
45.9473,-129.9848,0.9889,7/10/94 18:14,773864041.6
45.9492,-129.9849,1.6247,7/10/94 18:14,773864053.2
45.9458,-129.9824,0.9528,7/10/94 18:15,773864145.6
45.9481,-129.9845,0.923,7/10/94 18:18,773864315.5
45.9474,-129.9836,0.9124,7/10/94 18:18,773864337.2
45.9563,-129.9894,1.8202,7/10/94 18:19,773864363.5
45.9502,-129.9843,1.6288,7/10/94 18:19,773864385.2
45.9553,-129.9852,1.6595,7/10/94 18:20,773864402.8
45.948,-129.9836,0.5628,7/10/94 18:20,773864423.7
45.9482,-129.9849,1.1275,7/10/94 18:20,773864434.1
45.945,-129.9994,1.1653,7/10/94 18:20,773864452.2
45.9618,-130.0048,1.7056,7/10/94 18:20,773864458.2
45.9587,-129.9901,1.7949,7/10/94 18:24,773864689.7
45.954,-129.9864,1.6681,7/10/94 18:25,773864725.1
45.9453,-129.9831,0.6041,7/10/94 18:30,773865035.7
45.9467,-129.982,0.3964,7/10/94 18:31,773865110.7
45.9474,-129.9859,1.0557,7/10/94 18:37,773865446.8
45.9452,-130.0064,0.4643,7/10/94 18:49,773866163.7
45.9476,-129.9809,0.5834,7/10/94 18:55,773866519
45.9454,-129.9884,0.6503,7/10/94 18:59,773866773.7
45.9585,-129.9877,0.995,7/10/94 19:51,773869879.2
45.9444,-130.0172,0.2755,7/10/94 23:04,773881466.2
45.9483,-130.0228,0.2648,7/11/94 2:36,773894198.9
45.9583,-130.0329,3.316,7/11/94 2:48,773894929.8
45.9309,-129.984,0.9871,7/11/94 6:02,773906526.2
45.9456,-129.9835,0.6905,7/11/94 15:03,773938980.1
45.9447,-129.986,0.4726,7/11/94 15:47,773941643.8
45.9252,-129.9733,1.2186,7/11/94 20:02,773956941.3
45.9441,-130.0147,1.8063,7/12/94 1:23,773976210.9
45.9581,-129.9876,3.8992,7/12/94 1:28,773976517.1
45.9453,-130.0206,1.3977,7/12/94 1:39,773977194.4
45.9418,-129.9987,1.8464,7/12/94 1:40,773977218.5
45.942,-130.0139,1.4022,7/12/94 1:42,773977329.1
45.9499,-130.0056,2.2994,7/12/94 1:46,773977612.3
45.9476,-130.005,4.6668,7/12/94 2:00,773978399.8
45.9382,-130.0196,0.7611,7/12/94 2:23,773979800.7
45.9468,-130.0078,0.6713,7/12/94 15:23,774026633.9
45.9603,-129.9927,1.4358,7/12/94 15:44,774027882.6
45.9491,-129.9968,2.4364,7/12/94 19:18,774040689.2
45.9507,-130.0159,1.3638,7/12/94 20:31,774045091.4
45.9319,-129.9843,1.3352,7/12/94 23:12,774054774.8
45.954,-130.0101,1.3877,7/13/94 2:02,774064947.6
45.9297,-130.0018,2.5436,7/13/94 5:48,774078499
45.9478,-130.0249,1.3881,7/13/94 6:55,774082551.3
45.9247,-129.9811,1.2528,7/13/94 8:11,774087114.9
45.9498,-129.997,0,7/13/94 14:40,774110458.2
45.95,-129.9867,0.11,7/13/94 14:46,774110789
45.9499,-129.9888,2.7767,7/13/94 18:11,774123074.1
45.9585,-129.9794,2.2883,7/13/94 18:42,774124955.9
45.9595,-129.981,1.376,7/13/94 18:51,774125487.7
45.9461,-129.9817,0.6823,7/13/94 20:24,774131080.6
45.9525,-129.9948,2.0953,7/14/94 3:48,774157732.6
45.9419,-130.0134,1.6136,7/14/94 6:53,774168830.6
45.9089,-129.9796,1.7825,7/15/94 4:33,774246802.7
45.9483,-129.9932,1.3085,7/15/94 20:05,774302746.8
45.9539,-130.0054,1.8618,7/15/94 22:17,774310623.3
45.949,-130.0202,2.7262,7/16/94 6:02,774338563.5
45.9433,-130.001,1.8669,7/16/94 16:24,774375846.9
45.9473,-129.9816,0.9768,7/17/94 7:09,774428986
45.9457,-129.9838,0.0782,7/17/94 7:12,774429128.1
45.9443,-129.9851,0.0635,7/17/94 7:13,774429224.6
45.9458,-129.9846,0.7243,7/17/94 7:14,774429257.4
45.9459,-129.9818,1.0491,7/17/94 7:15,774429356.1
45.9415,-129.9872,1.8617,7/17/94 7:16,774429367
45.9439,-129.9877,1.9532,7/17/94 7:18,774429514.4
45.9439,-129.9824,0.4757,7/17/94 8:23,774433395.6
45.9444,-129.9806,0.7675,7/17/94 8:29,774433745.2
45.9499,-129.9872,0.8279,7/17/94 8:38,774434319.5
45.9544,-129.9918,1.8672,7/17/94 10:32,774441134.7
45.947,-129.9918,0.3702,7/17/94 10:32,774441152.6
45.9407,-130.024,2.2645,7/17/94 11:46,774445604
45.9506,-129.987,0.7163,7/17/94 11:47,774445669.6
45.9573,-130.0156,2.2177,7/17/94 11:55,774446132.5
45.9485,-129.9956,0.9746,7/17/94 12:01,774446481.3
45.9452,-129.9852,0.5765,7/17/94 13:14,774450893.1
45.9467,-130.0238,1.4031,7/17/94 16:56,774464171.7
45.949,-129.9883,0.8196,7/18/94 19:28,774559735.1
45.9476,-129.9907,0.3948,7/19/94 1:16,774580602.5
45.9536,-130.0135,3.368,7/19/94 1:19,774580749.4
45.9492,-129.9892,1.1133,7/19/94 10:11,774612708.4
45.9479,-130.0238,1.7922,7/19/94 11:37,774617830.9
45.9463,-129.9841,0.336,7/19/94 17:50,774640219.4
45.9435,-129.9882,0.3402,7/20/94 1:36,774668183.9
45.9453,-129.9843,1.102,7/20/94 11:29,774703773.8
45.9489,-130.0322,1.9917,7/20/94 12:29,774707376.1
45.9422,-130.0104,2.3138,7/20/94 12:30,774707428
45.9504,-130.0135,3.0827,7/20/94 12:37,774707868
45.9517,-130.0213,1.3359,7/20/94 12:39,774707948.3
45.9413,-130.0153,1.9001,7/20/94 12:40,774708006.9
45.9518,-130.0205,1.3708,7/20/94 12:42,774708145.9
45.9487,-130.02,1.6775,7/20/94 12:47,774708444.7
45.9549,-130.0133,3.1763,7/20/94 12:53,774708835
45.9606,-130.0132,2.0563,7/20/94 12:56,774708980.4
45.9458,-130.0146,1.4671,7/20/94 13:00,774709207.7
45.9481,-130.0121,2.6366,7/20/94 13:02,774709336.3
45.953,-130.0206,1.7074,7/20/94 13:03,774709397.3
45.9544,-130.0102,2.1151,7/20/94 13:28,774710888.2
45.9641,-130.0122,1.3062,7/20/94 13:34,774711265.9
45.9497,-130.0213,1.6544,7/20/94 13:36,774711362
45.9521,-130.015,2.4598,7/20/94 13:36,774711414.8
45.9507,-130.0125,1.1733,7/20/94 13:38,774711479.7
45.9383,-130.0175,4.2771,7/20/94 13:47,774712058
45.9238,-129.9827,1.3719,7/20/94 13:48,774712131.5
45.9511,-130.0244,1.3869,7/20/94 14:34,774714883.2
45.9417,-130.0173,1.6213,7/20/94 14:39,774715143.4
45.9309,-129.9921,0.8707,7/20/94 17:14,774724467.3
45.9272,-129.9663,0.376,7/20/94 17:14,774724479
45.9158,-129.9988,2.4274,7/20/94 17:41,774726112.8
45.9478,-130.0054,5.5074,7/20/94 18:16,774728160.2
45.9202,-129.9756,2.6001,7/20/94 18:31,774729063.2
45.9483,-130.014,1.9524,7/20/94 19:51,774733902.1
45.9482,-129.9767,3.5113,7/20/94 23:22,774746529.8
45.9336,-129.9827,1.4678,7/21/94 0:41,774751302.5
45.9526,-129.9859,0.5612,7/21/94 13:17,774796640.5
45.9245,-130.0248,6.6551,7/21/94 18:46,774816386.6
45.953,-130.0184,0.263,7/21/94 18:47,774816456.5
45.9522,-129.9871,1.1648,7/21/94 21:36,774826582.4
45.9314,-129.9773,2.6894,7/22/94 0:23,774836581.6
45.9423,-130.0206,0.8305,7/22/94 5:10,774853832.4
45.9545,-130.0192,3.9596,7/22/94 14:04,774885868.5
45.9414,-130.0167,1.4897,7/22/94 14:41,774888084.4
45.9608,-129.9904,2.9183,7/22/94 14:51,774888692.7
45.923,-129.9781,2.4875,7/23/94 6:35,774945339.7
45.921,-130.0155,1.2614,7/23/94 12:32,774966759.1
45.9562,-129.9833,1.4898,7/23/94 15:19,774976781.4
45.929,-129.9792,2.2559,7/23/94 16:50,774982238.2
45.9529,-130.0237,1.4279,7/23/94 17:16,774983798.1
45.9544,-130.0232,1.4492,7/23/94 17:19,774983975.6
45.9498,-130.0308,1.4816,7/23/94 17:34,774984848
45.9477,-129.9933,0.3883,7/23/94 22:59,775004352.4
45.947,-130.0049,1.2873,7/23/94 23:28,775006092.5
45.9329,-130.0194,1.3347,7/24/94 0:09,775008548.5
45.9498,-130.0227,1.776,7/24/94 6:56,775033012.6
45.9193,-129.9823,1.3929,7/24/94 8:05,775037131.4
45.9257,-129.9785,1.3561,7/24/94 8:06,775037169.5
45.811,-129.9877,4.2991,7/24/94 13:07,775055221.7
45.9533,-129.9872,0.6246,7/24/94 13:46,775057579
45.9334,-129.9915,0.4556,7/24/94 14:22,775059720.4
45.9238,-130.0284,1.455,7/24/94 14:23,775059795.3
45.9524,-129.9889,0.913,7/24/94 14:47,775061221.7
45.9401,-129.985,0.8615,7/24/94 14:54,775061692.4
45.9361,-129.9828,1.7621,7/24/94 14:55,775061702
45.9333,-130.0279,1.761,7/24/94 15:12,775062733.5
45.9516,-130.0016,3.0918,7/24/94 16:15,775066531.8
45.9306,-130.0015,0.0288,7/24/94 18:02,775072937.6
45.9463,-130.0059,1.3436,7/25/94 2:00,775101643
45.9444,-130.0195,0.7553,7/25/94 3:34,775107287.1
45.9486,-129.9903,1.3997,7/25/94 4:24,775110260.7
45.9487,-129.9963,1.9795,7/25/94 5:29,775114179.9
45.9578,-130.0186,0.2084,7/25/94 8:54,775126479.1
45.9469,-129.9849,0.8254,7/25/94 10:18,775131527.3
45.9517,-130.0186,2.7087,7/25/94 14:23,775146200.9
45.9446,-129.9852,2.1418,7/25/94 15:32,775150378.2
45.9462,-129.9852,1.0672,7/25/94 15:35,775150536.3
45.9509,-130.0196,2.018,7/25/94 17:07,775156034
45.9502,-129.9848,0.7757,7/26/94 2:20,775189217.2
45.8738,-129.9976,8.3638,7/26/94 16:53,775241581.9
45.9292,-129.9775,1.0165,7/26/94 17:37,775244244.9
45.9473,-129.9906,0.525,7/27/94 3:19,775279194.5
45.9466,-129.9936,0.548,7/27/94 3:20,775279243.4
45.9438,-129.9869,0.4032,7/27/94 7:30,775294235.5
45.944,-129.9767,0.9811,7/27/94 17:08,775328907.7
45.943,-129.9829,0.8982,7/27/94 17:10,775329009.3
45.9473,-130.0077,0.0056,7/28/94 0:02,775353757.9
45.9312,-129.9914,1.1212,7/28/94 3:02,775364535.6
45.9515,-129.9877,1.2353,7/28/94 4:06,775368381.1
45.9508,-129.9877,1.2986,7/28/94 4:11,775368718.2
45.952,-129.9878,1.1883,7/28/94 4:15,775368900.9
45.9484,-129.9885,0.6394,7/28/94 4:16,775368989.3
45.9524,-129.9859,1.2365,7/28/94 4:19,775369178.4
45.9711,-129.991,4.2787,7/28/94 4:24,775369483.7
45.9506,-129.9867,1.0183,7/28/94 4:25,775369528.2
45.9542,-129.9887,1.4621,7/28/94 4:26,775369605
45.9518,-129.9863,1.212,7/28/94 4:27,775369669.4
45.9516,-130.028,0.6184,7/28/94 6:15,775376124.6
45.9572,-130.0176,1.1062,7/28/94 16:25,775412748.9
45.9645,-130.0091,0.8085,7/28/94 16:39,775413544.4
45.9492,-129.9878,0.8385,7/29/94 0:47,775442873
45.9385,-129.9852,1.6674,7/29/94 3:26,775452392.8
45.9555,-129.9898,1.3969,7/29/94 16:01,775497668.9
45.9624,-129.989,1.7176,7/30/94 4:56,775544194.6
45.9548,-129.9884,1.7424,7/30/94 6:29,775549740.5
45.9517,-129.983,1.4752,7/30/94 8:58,775558689.9
45.9593,-129.986,1.498,7/30/94 10:04,775562644.7
45.949,-129.9863,0.59,7/30/94 10:05,775562715.7
45.9495,-129.9874,0.7923,7/30/94 11:59,775569567.3
45.9369,-129.9986,0.8993,7/30/94 14:22,775578164.9
45.9498,-129.9861,2.7197,7/31/94 15:54,775670096.6
45.9439,-130.0134,0.5898,7/31/94 21:05,775688703.5
45.947,-129.988,1.227,8/2/94 6:12,775807965.1
45.9466,-129.9873,0.9689,8/2/94 9:45,775820743.7
45.9421,-129.9797,0.876,8/2/94 14:22,775837376.1
45.9414,-129.9855,0.6623,8/2/94 14:27,775837628
45.9391,-129.9783,1.4993,8/2/94 14:27,775837667.4
45.9501,-129.9918,1.9934,8/2/94 20:25,775859142.9
45.9472,-129.9884,1.5004,8/3/94 3:12,775883560
45.9267,-130.0022,0.6206,8/3/94 6:43,775896204.8
45.9546,-130.0181,4.2718,8/3/94 7:57,775900654.6
45.9246,-129.9947,1.3807,8/3/94 9:50,775907435.7
45.9055,-129.9831,2.2751,8/3/94 9:51,775907461.7
45.9538,-130.0259,1.4602,8/3/94 18:17,775937867.2
45.9249,-129.9826,1.0305,8/3/94 19:51,775943470
45.9321,-129.9777,1.2068,8/3/94 19:55,775943734.5
45.9486,-130.0202,0.2643,8/4/94 3:04,775969491.3
45.9241,-129.9843,1.2935,8/4/94 3:57,775972628.1
45.9499,-129.9899,1.7648,8/4/94 8:08,775987726.4
45.946,-129.9917,0.0158,8/4/94 15:25,776013921.5
45.9555,-129.9965,1.368,8/4/94 20:19,776031543.6
45.9297,-129.9783,1.2265,8/4/94 23:44,776043868.8
45.9458,-130.026,1.4355,8/5/94 19:35,776115354.5
45.9507,-130.0012,2.6958,8/6/94 16:11,776189504.5
45.9151,-129.9821,1.4596,8/9/94 14:57,776444250.3
45.9465,-129.9891,0.743,8/11/94 0:29,776564945.9
45.946,-130.0124,1.8627,8/11/94 5:29,776582996.3
45.9464,-130.0112,2.0291,8/11/94 5:30,776583014.2
45.9276,-129.9788,2.8651,8/11/94 13:39,776612367.3
45.9576,-130.0126,1.8083,8/11/94 16:52,776623965.4
45.9333,-129.9723,1.0443,8/12/94 8:02,776678571.7
45.9228,-129.9988,1.4544,8/12/94 8:13,776679194.8
45.9465,-129.9878,0.0151,8/13/94 4:55,776753753.7
45.9611,-129.9882,1.4203,8/13/94 5:27,776755674.9
45.9505,-129.9932,0.9187,8/13/94 5:57,776757455
45.9445,-130.0118,1.7919,8/13/94 6:23,776758989.9
45.9673,-130.0137,2.0978,8/13/94 9:03,776768586.2
45.9455,-130.0054,0.6313,8/13/94 11:37,776777876.9
45.9512,-129.9869,1.1948,8/13/94 18:47,776803676.7
45.9241,-129.9824,1.3487,8/13/94 22:34,776817287.8
45.936,-130.0051,1.4713,8/13/94 22:37,776817426.1
45.9404,-130.0102,1.7046,8/14/94 6:05,776844332.9
45.921,-129.9898,0.4663,8/14/94 7:23,776849024.9
45.9235,-129.9856,1.3252,8/14/94 7:26,776849210
45.931,-129.9947,0.922,8/14/94 7:27,776849247.6
45.9434,-129.9829,0.0255,8/14/94 9:01,776854902.7
45.9471,-129.9896,0.9894,8/14/94 12:00,776865656.4
45.9471,-129.9887,0.5241,8/14/94 14:13,776873612.1
45.936,-130.0095,0.9426,8/14/94 15:41,776878864
45.9407,-129.9833,0.5478,8/14/94 18:00,776887224.8
45.9394,-129.9821,0.9193,8/15/94 3:48,776922532.7
45.9347,-129.9769,1.093,8/15/94 3:52,776922732.6
45.9436,-129.979,0.4471,8/15/94 4:03,776923427.1
45.9406,-129.9838,0.7886,8/15/94 4:10,776923823.7
45.9383,-129.9911,0.6929,8/15/94 19:32,776979146.9
45.9423,-129.9805,0.3,8/15/94 19:32,776979171.6
45.941,-129.9785,1.2914,8/15/94 19:34,776979244.1
45.9423,-129.9758,0.2633,8/15/94 19:35,776979344.1
45.9423,-129.9809,0.5579,8/15/94 19:37,776979442.3
45.9353,-129.9927,0.3498,8/16/94 4:34,777011660.2
45.94,-129.9816,0.5439,8/16/94 18:13,777060816.3
45.9422,-130.0133,0.3446,8/17/94 6:44,777105861.8
45.9297,-130.0098,0.3936,8/17/94 10:11,777118308.2
45.9316,-129.9919,1.0632,8/17/94 18:50,777149438.2
45.9549,-130.0217,1.5999,8/17/94 22:34,777162878.3
45.9446,-129.9881,0.6444,8/18/94 10:17,777205045
45.9463,-129.9852,1.023,8/18/94 10:29,777205791.6
45.9452,-129.9951,1.3619,8/18/94 11:21,777208899.9
45.9461,-129.9849,0.0893,8/18/94 11:57,777211072.3
45.9603,-130.016,1.7414,8/18/94 13:12,777215557.6
45.9564,-130.0163,1.5939,8/18/94 13:16,777215819.5
45.9434,-129.9839,0.2206,8/18/94 14:48,777221335.9
45.9385,-129.996,1.0266,8/18/94 15:28,777223680.3
45.9426,-129.9898,0.6407,8/18/94 15:35,777224103.2
45.9425,-129.9795,0.0017,8/18/94 15:44,777224692.9
45.9408,-129.9949,0.0073,8/18/94 16:09,777226189.9
45.9434,-130.0002,0.6061,8/18/94 16:51,777228667.8
45.9422,-130.0037,0.3559,8/18/94 17:19,777230359.3
45.9437,-129.987,0.4965,8/19/94 0:00,777254430
45.9452,-129.9839,1.1852,8/20/94 0:33,777342828.8
45.9455,-129.9808,0.9992,8/20/94 0:35,777342934.4
45.945,-130.0112,1.9467,8/20/94 3:30,777353401
45.9346,-129.9653,6.7745,8/20/94 7:57,777369419.6
45.9273,-129.9749,1.1709,8/20/94 9:37,777375452.2
45.9262,-129.9786,1.1629,8/20/94 9:37,777375478.6
45.9323,-129.9711,1.1911,8/20/94 10:38,777379117.5
45.9366,-129.9871,1.4575,8/20/94 15:01,777394875.4
45.9456,-129.9979,0.8109,8/20/94 20:20,777414038.2
45.9474,-129.9889,1.4021,8/20/94 20:22,777414159.5
45.9352,-129.9772,1.3087,8/22/94 14:24,777565497
45.9371,-129.9633,1.1,8/22/94 15:21,777568901.5
45.9387,-129.9989,0.0081,8/22/94 16:11,777571892.9
45.9351,-129.9985,0.0041,8/22/94 16:20,777572442.5
45.9397,-129.991,0.0932,8/22/94 17:07,777575229.9
45.934,-129.9821,1.5052,8/23/94 13:44,777649457.8
45.9328,-129.9833,1.5029,8/23/94 13:50,777649814.4
45.9282,-129.9817,1.3596,8/23/94 14:34,777652466.6
45.9329,-129.9714,1.0684,8/23/94 15:47,777656820.7
45.9273,-129.9769,1.503,8/23/94 16:17,777658641.2
45.9284,-129.9839,1.3213,8/23/94 16:28,777659332.5
45.9318,-129.9867,1.2889,8/23/94 19:58,777671920.7
45.9328,-129.9956,0.3081,8/24/94 4:54,777704061.7
45.9407,-129.9816,0.9192,8/24/94 4:56,777704177.8
45.936,-129.9957,1.1815,8/24/94 4:57,777704248.6
45.9607,-129.9847,2.4791,8/24/94 7:18,777712715.6
45.9638,-129.9855,2.483,8/24/94 7:20,777712827.8
45.9451,-129.9868,0.7192,8/24/94 8:29,777716948.5
45.9475,-129.988,0.3564,8/24/94 8:33,777717209.7
45.9486,-129.9945,1.0501,8/24/94 15:39,777742752.8
45.9267,-129.999,1.7721,8/24/94 16:25,777745557.6
45.9258,-129.9796,0.9845,8/24/94 16:44,777746659.5
45.9531,-130.028,1.4706,8/25/94 17:28,777835715.4
45.9667,-130.0001,0.3515,8/25/94 17:29,777835760.8
45.9609,-130.0271,1.9966,8/25/94 17:29,777835798.4
45.9553,-130.0168,2.4433,8/25/94 17:31,777835898.2
45.9521,-129.9862,1.2319,8/26/94 4:51,777876661.2
45.9516,-129.9854,0.6371,8/26/94 5:14,777878047.2
45.9101,-129.9775,4.2882,8/26/94 6:14,777881652.2
45.8899,-129.9736,1.8969,8/26/94 13:52,777909171.3
45.9437,-130.0175,0.7437,8/27/94 0:23,777946990.6
45.9483,-129.9863,0.7126,8/27/94 6:12,777967949.8
45.9495,-129.9859,0.317,8/27/94 7:09,777971394.2
45.9539,-129.9924,2.0021,8/27/94 7:11,777971496.2
45.9525,-129.9986,1.5669,8/27/94 7:18,777971882.3
45.9542,-129.9867,0.6238,8/27/94 7:49,777973760.3
45.9341,-130.0034,0.0257,8/27/94 20:14,778018486.4
45.927,-129.9819,1.3468,8/27/94 22:00,778024830.5
45.9566,-129.9885,1.2697,8/28/94 3:05,778043129.9
45.9471,-129.9823,0.8403,8/28/94 7:27,778058863.5
45.9495,-129.9856,0.5115,8/28/94 7:28,778058911.1
45.9484,-129.982,0.3759,8/28/94 7:29,778058968.8
45.9474,-129.9831,0.9732,8/28/94 7:31,778059110.8
45.948,-129.986,0.7291,8/28/94 7:33,778059200.1
45.9468,-129.9832,0.8405,8/28/94 7:33,778059202.9
45.9483,-129.9822,0.2971,8/28/94 7:33,778059221.6
45.9467,-129.985,0.6143,8/28/94 7:33,778059230.6
45.9442,-129.9966,0.7964,8/28/94 7:36,778059393.7
45.9192,-129.9949,1.4024,8/29/94 2:47,778128461.7
45.931,-129.9856,0.9009,8/29/94 8:14,778148058.3
45.945,-129.985,0.9606,8/30/94 8:14,778234449.1
45.946,-129.9861,1.0978,8/30/94 8:15,778234508.1
45.9427,-129.98,1.891,8/30/94 8:16,778234573.7
45.9459,-129.9832,0.8481,8/30/94 8:56,778236972.9
45.9398,-129.9788,1.3341,8/30/94 16:22,778263745.7
45.9407,-129.9828,0.9543,8/30/94 16:23,778263821.5
45.9425,-129.9853,1.7099,8/30/94 16:28,778264091.5
45.943,-129.9801,0.6145,8/30/94 16:29,778264191.4
45.9425,-129.9807,0.0296,8/30/94 16:31,778264286
45.9282,-129.955,0.3266,8/30/94 16:37,778264641.3
45.9469,-130.0087,3.4791,8/30/94 19:15,778274131.6
45.9629,-129.9909,2.4525,8/31/94 8:09,778320545.2
45.9514,-129.9861,0.7775,8/31/94 9:38,778325925.4
45.9565,-130.0186,2.0404,8/31/94 11:27,778332453.9
45.9614,-129.9917,1.4414,9/1/94 10:23,778415027.8
45.9295,-129.9832,1.9042,9/1/94 11:07,778417640.2
45.9453,-129.9827,0.7062,9/1/94 15:42,778434179.5
45.9448,-129.9851,1.1836,9/1/94 15:51,778434684.7
45.9466,-129.9837,1.0119,9/1/94 15:52,778434757.7
45.9267,-129.9867,1.1426,9/1/94 16:23,778436611.9
45.9241,-129.9874,1.3326,9/1/94 16:27,778436822.8
45.927,-129.9808,1.2975,9/2/94 0:56,778467396
